;Ticker;Ratings;Dates;EBIT_TO_NET_SALES...4;BS_LT_BORROW...5;BS_NET_ASSET_VALUE...6;SHORT_AND_LONG_TERM_DEBT...7;BS_TOT_LIAB2...8;BS_TOT_ASSET...9;BS_PURE_RETAINED_EARNINGS...10;BS_CUR_LIAB...11;EBIT_TO_INT_EXP...12;CUR_RATIO...13;QUICK_RATIO...14;WORKING_CAPITAL...15;NET_OPER_INCOME...16;TOT_MKT_VAL...17;BEST_EBIT_STDDEV...18;BS_AVERAGE_TOTAL_ASSETS...19
1;CS CN Equity;CCC+;13.797;0;205429;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;CR CN Equity;A-;216.972;0;5850;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;ACO/Y CN Equity;BBB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;HSE CN Equity;BBB+;216.972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;RY CN Equity;AA-;483.771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;EMA CN Equity;BBB;1336.122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;CEU CN Equity;B;-92.901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;NGD CN Equity;B;103.263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;FTS CN Equity;A-;3.3285;0;198548.4594;0;0;0;0;27.4566;0;0;0;0;0;0;0;0;0
10;NOA CN Equity;B+;2.0055;0;0;0;0;0;0;4690;0;0;-0.355;0;0;0;0;0;0
11;LUN CN Equity;NR;0.8548;0;206680;0;0;0;0;0;0;0;8713;0;0;0;0;0;0
12;NVA CN Equity;CCC+;103.835;0;12.617;0;0;0;0;4690;0;0;0;0;0;7785;0;0;0
13;CCL/B CN Equity;BBB;0;0;1.5674;0;0;0;0;8313;0;0;8744;0;0;0;0;0;0
14;CCL/A CN Equity;BBB;603.8678;0;3282.1;0;0;0;0;13250;0;0;26315;0;0;100362;0;0;0
15;FM CN Equity;CCC+;0;0;0;0;0;0;0;1589;0;0;22826;0;0;904280;0;0;0
16;SLF CN Equity;A+;0;0;3500.1;0;0;0;0;1396;5311.371;0;-7677;0;0;960511;0;0;0
17;NA CN Equity;A;54.638;0;6502.2;0;0;0;0;5.31;0;0;9933;0;0;27585;0;0;0
18;EMP/A CN Equity;NR;0;0;12243.7;0;0;0;0;0.9549;9089.813;0;-0.1547;0;0;0;4871;0;0
19;BTE CN Equity;B;0;0;3585.9;0;0;0;0;0.8095;34938.175;0;1.1372;0;0;0;0;0;0
20;PKI CN Equity;BB;0;0;2566.3;0;0;0;0;-63;36482.785;0;0.458;0;0;0;120874;0;0
21;TRP CN Equity;BBB+;0;0;2.5367;0;0;0;0;0;848.905;16.4814;1363;0;0;0;746579;0;0
22;ACE/H CN Equity;NR;0;0;1.0103;0;0;0;0;21431.7553;0;748.459;0;0;0;0;805666;0;0
23;CGG CN Equity;BBB-;0;0;0.3463;0;0;0;0;0;0;0;18791.9294;0;0;0;28609;0;0
24;SPB CN Equity;BB-;0;8.177;26.4;0;0;0;0;0;0;983.335;0;0;0;928951.4003;0;0;0
25;WRG CN Equity;NR;0;378.225;0;0;0;0;0;14.728;0;1345.852;0;0;0;0;0;0;0
26;MEG CN Equity;CCC+;0;0;11853.8237;0;0;0;0;0;0;1761.705;66.073;0;0;933000;0;0;0
27;AC CN Equity;B+;0;429.744;0;0;0;0;0;0;0;20.263;0;0;0;11.913;0;0;0
28;TKO CN Equity;CCC+;0;612.533;0;0;0;0;0;0;35278.7938;565.414;0;0;0;20.1709;0;0;0
29;ACQ CN Equity;B-;0;792.652;16.769;0;0;0;0;0;0;0.8179;0;0;0;2686.191;0;0;0
30;RUS CN Equity;BB;0;-79.855;0;0;0;0;0;0;35560.19;1.3306;0;0;0;0;795064.3744;0;0
31;CLS CN Equity;BB-;0;157.303;0;0;0;0;0;0;13.81;0.3433;0;0;0;2718.514;0;0;0
32;ATH CN Equity;CCC;0;2.7058;0;0;0;0;0;0;0;186.911;0;0;0;3665.485;796000;0;0
33;PD CN Equity;B;0;0.7462;0;0;0;0;0;0;0;0;0;0;0;5173.741;11.366;0;0
34;ACO/X CN Equity;A-;0;0.4596;0;0;0;0;0;0;0;1647.5192;0;0;0;471.507;-6.3341;0;0
35;MRT-U CN Equity;NR;0;-39.926;0;0;0;0;0;0;0;0;0;0;0;464.729;227.023;0;0
36;BEP-U CN Equity;BBB+;0;0;0;24.3413;0;0;0;0;0;0;0;0;0;3.1078;0;0;0
37;SU CN Equity;BBB+;0;930.439;0;317.948;0;0;0;0;0;34.519;0;0;0;0.4243;509.197;0;0
38;DC/A CN Equity;NR;0;0;0;0;0;0;392.616;0;0;0;0;0;0;0.33;683.597;0;0
39;CJR/B CN Equity;BB;0;0;0;329.218;0;0;0;0;0;0;0;0;0;-267.553;896.738;0;0
40;ITP CN Equity;BB-;0;42.944;0;621.63;0;0;425.903;0;0;0;0;0;0;0;-206.151;0;0
41;ABX CN Equity;BBB;0;0;0;988.71;0;0;469.331;0;0;0;0;0;0;6685.7497;446.346;0;0
42;HBM CN Equity;B;0;0;0;-102.878;0;0;783.761;0;0;0;0;0;0;0;-2.3021;0;0
43;AIM CN Equity;NR;0;0;0;61.409;0;0;-163.583;27.4566;0;0;0;0;0;0;1.1951;0;0
44;MFC CN Equity;A;0;0;0;2.9738;0;0;52.352;4690;0;0;-0.355;0;0;17.885;0.3038;0;0
45;OSB CN Equity;BB;0;0;0;2.3732;0;0;-12.6808;0;0;0;8713;0;0;0;87.075;0;0
46;MRU CN Equity;BBB;0;0;0;1.6585;0;0;0.4189;4690;0;0;0;0;0;0;0;0;0
47;WN CN Equity;BBB;0;0;0;84.327;0;0;0.1696;8313;0;0;8744;0;0;0;1235.089;0;0
48;TA CN Equity;BB+;0;0;0;0;0;5.2259;-30.424;13250;0;0;26315;0;0;0;0;0;0
49;REI-U CN Equity;BBB;0;0;0;1158.3396;0;1044.7;0;1589;0;0;22826;0;0;0;0;0;0
50;OTEX CN Equity;BB+;0;0;0;0;0;0;929.016;1396;0;0;-7677;0;0;0;40.473;0;0
51;IGM CN Equity;A;0;0;0;0;0;1058.6;0;5.31;0;0;9933;0;0;0;0;0;0
52;BCE CN Equity;BBB+;0;0;0;65.216;0;2595.4;0;0.9549;0;0;-0.1547;0;0;0;4978;0;0
53;IMO CN Equity;AA;0;0;0;0;0;5279.5;40.801;0.8095;0;0;1.1372;0;0;0;0;0;0
54;MPVD CN Equity;CCC-;0;0;0;0;0;2068.6;0;-63;0;0;0.458;0;0;0;27839;0;0
55;RCI/A CN Equity;BBB+;0;0;0;0;0;1076.9;0;0;0;0;1363;0;0;0;396120;0;0
56;YRI CN Equity;BB+;0;0;0;0;0;12.9423;0;21431.7553;0;0;0;0;7.555;0;414903;0;0
57;PMT CN Equity;NR;0;0;0;0;0;1.1109;0;0;0;0;18791.9294;0;2339.1;0;9626;0;0
58;CNR CN Equity;A;0;0;0;0;0;0.3214;0;0;0;0;0;0;0;0;0;0;0
59;CIX CN Equity;BBB;0;0;0;0;0;119.4;0;0;0;0;0;0;3411.8;0;0;0;0
60;AQN CN Equity;BBB;0;0;0;0;0;0;0;8.4606;0;0;73.594;0;8180.1;0;0;0;0
61;SJR/B CN Equity;BBB-;0;0;0;0;0;9377.503;0;358.7;0;0;0;0;13630;0;0;0;0
62;HCG CN Equity;BB-;0;0;0;0;0;0;0;0;0;0;0;0;4404.6;0;0;0;0
63;SJR/A CN Equity;BBB-;0;0;0;0;0;0;0;476.8;0;0;0;0;4322.1;0;0;0;0
64;TCL/B CN Equity;BBB-;0;0;0;0;0;17.931;0;1234.6;0;0;0;0;7.0723;0;395000.8577;0;0
65;ATD/A CN Equity;BBB;0;0;0;0;0;0;0;2027.7;0;0;0;0;1.8458;0;0;0;0
66;CAS CN Equity;BB-;0;0;0;0;0;0;0;415.6;0;0;0;0;1.4611;0;411481;0;0
67;ATD/B CN Equity;BBB;0;0;0;0;0;0;0;532.1;0;0;0;8.9313;3655.7;0;11.565;0;0
68;L CN Equity;BBB;0;0;0;0;0;0;0;8.5051;0;0;0;1.324;0;0;0;0;0
69;GEI CN Equity;BBB-;0;0;0;0;0;0;0;1.0795;0;0;0;0;14113.8082;0;4913;0;0
70;LB CN Equity;BBB;0;0;0;0;0;0;0;0.7861;0;0;0;6.052;0;0;0;0;0
71;ELF CN Equity;A;0;0;0;0;0;0;29.407;42.3;0;0;0;260.846;0;0;71956;0;0
72;EXE CN Equity;NR;0;0;0;0;0;0;1014.8;0;0;0;0;778.384;16.132;0;553255;0;0
73;GSY CN Equity;BB-;0;0;0;0;0;0;0;2078.7437;0;0;0;-44.311;8.4606;0;588659;0;0
74;ALA CN Equity;BBB-;0;0;0;0;0;0;1033.5;0;0;0;0;219.562;358.7;0;17237;0;0
75;T CN Equity;BBB+;0;0;0;0;0;0;2897.3;0;0;0;0;18.7909;0;0;0;0;0
76;GC CN Equity;NR;0;0;0;0;31.8805;0;7117.2;0;0;0;0;1.7653;476.8;0;0;0;0
77;INE CN Equity;BBB-;0;0;0;0;878.307;0;-3453.8;2.7246;0;0;0;0.8849;1234.6;0;0;0;0
78;CPX CN Equity;BBB-;0;0;0;0;0;0;408.4;2586.1;0;0;0;168.037;2027.7;0;0;0;0
79;WILD CN Equity;B-;0;0;0;0;880.945;0;6.2218;0;0;0;0;0;415.6;0;0;0;0
80;ELD CN Equity;B+;0;0;0;0;1474.456;0;0.9833;2606.4;0;0;0;1385.6798;532.1;0;0;0;0
81;MIC CN Equity;BBB+;0;0;0;0;2784.582;0;0.3972;6568.4;0;0;0;0;8.5051;0;522984.6958;0;0
82;CVE CN Equity;BBB-;0;0;0;0;313.361;0;-6.8;10545;0;0;0;0;1.0795;0;0;0;0
83;III CN Equity;NR;0;0;0;0;175.725;0;0;3077.4;0;0;0;25.627;0.7861;0;593928;0;0
84;EFN CN Equity;BBB;0;0;0;0;5.4961;0;6147.745;2662.8;0;0;0;0;42.3;0;11.051;0;0
85;CRRX CN Equity;NR;0;0;0;0;1.2371;0;0;12.1397;0;0;0;0;0;0;0;0;0
86;FFH CN Equity;BBB-;0;0;0;0;1.1074;0;0;1.2073;0;0;0;0;2078.7437;0;0;0;0
87;BBD/A CN Equity;CCC+;7859;0;0;0;41.669;0;46.819;0.8403;0;0;0;0;0;0;0;0;0
88;SNC CN Equity;BB+;0;0;0;0;0;0;0;552.1;0;0;0;0;0;0;0;0;0
89;BBD/B CN Equity;CCC+;122535;0;0;0;3283.3604;0;0;0;0;0;0;0;25.169;0;0;0;0
90;IPL CN Equity;BBB-;886047;0;0;0;0;0;0;27348.4563;0;0;0;0;0;0;0;0;0
91;FTT CN Equity;BBB+;940550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.9465;0
92;CTC CN Equity;BBB;31615;0;0;0;17.261;0;0;0;0;0;0;0;0;0;0;293.245;0
93;DOL CN Equity;BBB;0;0;0;0;0;0;0;25.939;0;0;0;0;0;0;0;0;0
94;RBA CN Equity;BB+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362.369;0
95;POU CN Equity;NR;0;0;0;0;0;0;0;0;0;0;7.555;0;0;0;0;508.6;0
96;LGO CN Equity;NR;0;0;0;0;0;0;0;0;0;0;2339.1;0;0;0;0;705.574;0
97;CFW CN Equity;NR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.908;0
98;K CN Equity;BBB-;0;0;0;0;0;0;0;0;0;0;3411.8;0;0;0;0;156.015;0
99;ATA CN Equity;BB;869907.2487;0;0;0;0;0;0;0;0;0;8180.1;0;0;0;0;3.9096;0
100;AEM CN Equity;NR;0;0;0;0;0;0;0;0;0;0;13630;0;0;0;0;2.2998;0
101;WFT CN Equity;BBB-;906500;0;0;0;0;0;0;0;0;0;4404.6;0;0;0;0;0.5135;0
102;POW CN Equity;A+;10.715;0;0;0;0;0;0;0;0;0;4322.1;0;0;0;0;202.789;0
103;BAM/A CN Equity;A-;0;0;0;0;0;0;0;0;0;0;7.0723;0;0;0;0;0;0
104;IMG CN Equity;B+;0;0;0;0;0;0;0;0;0;0;1.8458;0;0;0;0;983.2391;0
105;NPI CN Equity;BBB;0;0;0;0;0;0;0;0;0;0;1.4611;0;0;0;0;0;0
106;TEV CN Equity;CCC+;0;0;0;0;0;0;0;0;0;0;3655.7;0;0;0;0;0;0
107;CTC/A CN Equity;BBB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.673;0
108;TCL/A CN Equity;BBB-;0;0;0;0;0;0;0;0;0;0;14113.8082;0;0;0;0;0;0
109;ENB CN Equity;BBB+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;WJX CN Equity;NR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;CU/X CN Equity;A-;0;0;0;0;0;0;0;2.7246;0;0;39.902;0;0;0;0;0;0
112;CU CN Equity;A-;0;0;0;0;0;0;0;2586.1;0;0;23.8182;0;0;0;0;0;0
113;TD CN Equity;AA-;0;0;0;0;0;0;0;0;0;0;3136.919;0;0;0;0;0;0
114;CCA CN Equity;BB+;0;0;0;0;0;0;0;2606.4;0;0;0;0;0;0;0;0;0
115;FCR-U CN Equity;BBB-;0;0;0;0;0;0;0;6568.4;0;0;3301.048;0;0;0;0;0;0
116;PPL CN Equity;BBB;0;0;0;0;0;18.4975;0;10545;0;0;3677.053;0;0;0;0;0;0
117;VET CN Equity;B;0;0;0;0;0;1256.75;0;3077.4;0;0;3359.669;0;0;0;0;0;0
118;CHP-U CN Equity;BBB;0;0;0;0;0;0;0;2662.8;0;0;-765.202;0;0;0;0;0;0
119;CRT-U CN Equity;BBB;0;0;0;0;0;1319.332;0;12.1397;0;0;443.234;0;0;0;0;0;0
120;NTR CN Equity;BBB;0;0;0;0;0;2257.531;0;1.2073;0;0;17.4248;0;0;0;0;0;0
121;IAG CN Equity;A;0;0;0;0;0;3899.698;0;0.8403;0;0;1.5534;0;0;0;0;0;0
122;BNS CN Equity;A+;0;0;0;0;0;716.317;0;552.1;0;0;0.1945;0;0;0;0;0;0
123;SOY CN Equity;CCC+;0;0;0;0;0;641.201;1216.156;0;0;0;245.286;0;0;0;0;0;0
124;CM CN Equity;A+;0;0;0;0;0;357.1035;0;27348.4563;0;0;0;0;0;0;0;0;0
